Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Flags,Image
1626,251.800443,-1.923473,251.800414,-1.92339,283,557,283.515,558.497,1,2780.38,1,189.632,D.N.,-8.6103,0.074,2,B,10.321799,9.02627,38.501752,7.814347,100.159462,0,92.555187,18.359743,5,5,5,0,8,15,79.04,0,506,4.7,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1627,251.790461,-1.923418,251.790425,-1.923358,463,558,463.664,559.078,1,1867.18,1,49.6762,D.N.,-8.178,0.0289,2,B,7.550144,6.257256,8.791131,6.748593,9.934079,0,4.630856,2.467102,5,5,5,0,8,15,79.04,0,500,4.24,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1628,251.77621,-1.923418,251.77616,-1.923391,720,558,720.894,558.485,1,302.234,1,23.6893,D.N.,-6.2009,0.0851,2,B,6.081241,5.531317,6.124456,6.322502,6.369532,0,1.751597,1.620671,5,5,5,0,8,15,79.04,0,502,1.22,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1629,251.747319,-1.923363,251.747289,-1.923332,1241,559,1241.529,559.558,1,706.553,1,30.2209,D.N.,-7.1229,0.0464,2,B,5.330438,5.758975,5.255045,5.165421,5.44761,0,1.436999,1.451501,5,5,5,0,8,15,79.04,0,514,4.57,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1630,251.742605,-1.923474,251.742589,-1.923394,1326,557,1326.291,558.442,1,171.414,1,21.8798,D.N.,-5.5851,0.1386,2,B,5.552056,5.553616,5.747765,5.201037,6.063417,0,1.932771,1.766926,5,5,5,0,8,15,79.04,0,506,3.96,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1631,251.739389,-1.923474,251.739317,-1.92341,1384,557,1385.292,558.155,1,95.7006,1,20.0564,D.N.,-4.9523,0.2275,2,B,5.307035,5.101934,5.872989,4.858159,6.684868,0,3.196231,1.762669,5,5,5,0,8,15,79.04,0,500,11.37,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1632,251.790739,-1.923418,251.790421,-1.923358,458,558,463.73,559.085,1,1857.9,1,49.5827,D.N.,-8.1726,0.029,2,B,7.550144,6.257256,8.791131,6.672565,9.934079,0,4.630856,2.467102,5,5,5,0,8,15,79.04,0,500,5.01,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1633,251.790406,-1.923196,251.790424,-1.923358,464,562,463.675,559.076,1,1867.18,1,49.6762,D.N.,-8.178,0.0289,2,B,7.550144,6.257256,8.791131,6.71236,9.934079,0,4.630856,2.467102,5,5,5,0,8,15,79.04,0,500,8.88,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1634,251.790461,-1.922753,251.790429,-1.922753,463,570,463.591,569.996,1,1310.03,1,74.6229,D.N.,-7.7932,0.0618,2,B,8.84152,6.872658,12.03377,6.591759,14.401587,0,7.919503,6.574894,5,5,5,0,8,15,79.04,0,504,4.37,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1635,251.785526,-1.923474,251.785578,-1.923362,552,557,551.069,559.012,1,574.962,1,47.5516,D.N.,-6.8991,0.0898,2,B,9.057693,7.622632,10.519374,7.098475,11.584239,0,4.856334,4.138866,5,5,5,0,8,15,79.04,0,506,39.68,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
